N,Time
1,37.549
2,46.726
3,59.08
4,70.464
5,81.974
6,111.625
7,105.996
8,118.192
9,134.277
10,145.741
11,158.542
12,169.266
13,179.401
14,191.478
15,205.02
16,215.75
17,226.658
18,238.932
19,259.445
20,261.862
