N,Time
1,23.696
2,27.001
3,33.202
4,38.782
5,47.073
6,51.593
7,57.515
8,63.772
9,69.935
10,75.854
11,81.081
12,86.777
13,92.704
14,99.518
15,106.982
16,113.138
17,123.05
18,125.459
19,130.727
20,137.61
