N,Time
1,47.701
2,66.583
3,69.665
4,87.6
5,100.327
6,115.986
7,130.053
8,150.502
9,166.091
10,178.317
11,192.807
12,208.461
13,224.622
14,236.603
15,253.738
16,267.66
17,279.689
18,298.391
19,312.955
20,325.445
