N,Time
1,16.576
2,18.041
3,21.764
4,24.435
5,29.962
6,28.727
7,32.876
8,34.946
9,38.758
10,42.003
11,63.467
12,47.497
13,49.929
14,54.153
15,71.032
16,59.466
17,62.771
18,65.496
19,68.066
20,71.701
